"code";"abbreviation";"description";"explanation"
"1934";"SS_CREATE_ELABEL_DRIVEFACT";"Slowscan Control: Error creating E-Label Entry Slowscan Drive Factor.";"Reason:  Slowscan Control Module: Error occurred while creating E-Label Entry Slowscan Drive Factor.<newline/>Meaning: E-Label Entry Slowscan Drive Factor is not initialized <newline/>Cure:  (Software bugfixing)."
"1935";"SS_CREATE_ELABEL_SCANDELAY";"Slowscan Control: Error creating E-Label Entry Scan Delay.";"Reason:  Slowscan Control Module: Error occurred while creating E-Label Entry Scan Delay.<newline/>Meaning: E-Label Entry Scan Delay is not initialized <newline/>Cure:  (Software bugfixing)."
"1936";"SS_CREATE_ELABEL_TOBOLBOSDET";"Slowscan Control: Error creating E-Label Entry Timeout BOL/BOS Detection.";"Reason:  Slowscan Control Module: Error occurred while creating E-Label Entry Timeout BOL/BOS Detection.<newline/>Meaning: E-Label Entry Scan Delay is not initialized <newline/>Cure:  (Software bugfixing)."
"1937";"SS_SLOWSCANPOS_IPSECURE";"Slowscan Control: Start Slowscan motor to IP transport secure  position failed.";"Reason:  Slowscan Control Module:   Start positioning to standby of slowscan stepper motor failed.<newline/>         Sequence: goto IP transport secure  position.<newline/>Meaning: Any motor or curve parameter is wrong or out of range (run-direction, current, <newline/>         speedlevel, curve) <newline/>Cure:    correct the wrong parameter (Software bugfixing)."
"1938";"SS_TO_SLOWSCANPOS_IPSECURE";"Slowscan Control: Timeout while Slowscan positioning to IP transport secure  position.";"Reason:  Slowscan Control Module:   Timeout of slowscan stepper motor.<newline/>         Action: Move to IP transport secure  position with step-positioning<newline/>         Sequence: Scan IP<newline/>Meaning: 1) Any Hardware problem of IPHandling board.<newline/>         2) Timeout time is too short. <newline/>Cure:    1) Replace IPHandling board.<newline/>         2) correct the wrong parameter (Software bugfixing)."
"1939";"SS_PROXY_SENDCMD_DELIVER";"cannot deliver command from proxy to SS-task";"Cannot send any command from SloscanControl-proxy to SlowscanControl-task through PostOffice."
"1940";"SS_PROXY_SENDDATA_DELIVER";"cannot deliver data envelope from proxy to SS-task";"Cannot send any data envelope from SloscanControl-proxy to SlowscanControl-task through PostOffice."
"1941";"SS_SAVE_ELABEL_SCANDELAY";"SlowScanControl: Error saving E-Label Entry ScanDelay.";"Meaning:  SlowScanControl Module: Error occurred while saving parameter ScanDelay' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace IP-HandlingBoard. 2) SW-Bugfixing"
"1942";"SS_SAVE_ELABEL_TOBOLBOSDET";"SlowScanControl: Error saving E-Label Entry BOL/BOS Detection.";"Meaning:  SlowScanControl Module: Error occurred while saving parameter BOL/BOS Detectiont' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace IP-HandlingBoard. 2) SW-Bugfixing"
"1943";"SS_SWITCHON_BOSLED";"SlowScanControl: Switch on BOS-Led failed.";"Meaning:  SlowScanControl Module: Switch on BOS-Led failed.<newline/>Reason:<newline/>1) any hardware problem on IP-Handling board<newline/>1) any hardware problem at power supply unit<newline/>Cure:  1) Check/Replace IP-HandlingBoard. 2) Check/Replace power supply unit"
"2100";"TA_RS232_BAUDRATE";"invalid baudrate";"CassetteReader Module.<newline/>Meaning: <newline/>Invalid baudrate specified - ignored the setting.<newline/>Reason: <newline/>Software bug.<newline/>Cure:<newline/>Software bugfixing"
"2101";"TA_AL_GETINFO_TX";"cannot send get_info command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2102";"TA_AL_GETINFO_RX";"error receiving the get_info response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2103";"TA_AL_GETINFO_CHECKSUM";"checksum error in get_info response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHanling Board(B250) or Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2104";"TA_AL_GETINFO_OOS";"wrong sequence number in get_info response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2105";"TA_AL_GETINFO_FWERROR";"firmware reported an error for command get_info.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)"
"2106";"TA_AL_LOADKEY_TX";"cannot send load_key command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2107";"TA_AL_LOADKEY_RX";"error receiving the load_key response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2108";"TA_AL_LOADKEY_CHECKSUM";"checksum error in load_key response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)"
"2109";"TA_AL_LOADKEY_OOS";"wrong sequence number in load_key response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2110";"TA_AL_LOADKEY_FWERROR";"firmware reported an error for command load_key.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)"
"2111";"TA_AL_RFOFF_TX";"cannot send RFoff command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2112";"TA_AL_RFOFF_RX";"error receiving the RFoff response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2113";"TA_AL_RFOFF_CHECKSUM";"checksum error in RFoff response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2114";"TA_AL_RFOFF_OOS";"wrong sequence number in RFoff response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2115";"TA_AL_RFOFF_FWERROR";"firmware reported an error for command RFoff.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)"
"2116";"TA_AL_RFON_TX";"cannot send RFon command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2117";"TA_AL_RFON_RX";"error receiving the RFon response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2118";"TA_AL_RFON_CHECKSUM";"checksum error in RFon response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2119";"TA_AL_RFON_OOS";"wrong sequence number in RFon response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2120";"TA_AL_RFON_FWERROR";"firmware reported an error for command RFon.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)"
"2121";"TA_AL_RD_TX";"cannot send vhl_read() command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2122";"TA_AL_RD_RX";"error receiving the vhl_read() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2123";"TA_AL_RD_CHECKSUM";"checksum error in vhl_read() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2124";"TA_AL_RD_OOS";"wrong sequence number in vhl_read() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2125";"TA_AL_RD_FWERROR";"firmware reported an error for command vhl_read().";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)"
"2126";"TA_AL_WR_TX";"cannot send vhl_write() command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2127";"TA_AL_WR_RX";"error receiving the vhl_write() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2128";"TA_AL_WR_CHECKSUM";"checksum error in vhl_write() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) orReplace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2129";"TA_AL_WR_OOS";"wrong sequence number in vhl_write() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) orReplace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2130";"TA_AL_WR_FWERROR";"firmware reported an error for command vhl_write().";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)."
"2131";"TA_AL_SYNC_NOREADER";"No TagReader detected while syncing.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2132";"TA_AL_SETBAUDRATE_TX";"cannot send comm_baudrate() command";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2133";"TA_AL_SETBAUDRATE_RX";"error receiving the comm_baudrate() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2134";"TA_AL_SETBAUDRATE_CHECKSUM";"checksum error in comm_baudrate() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) orReplace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2135";"TA_AL_SETBAUDRATE_OOS";"wrong sequence number in comm_baudrate() response";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2136";"TA_AL_SETBAUDRATE_FWERROR";"firmware reported an error for command comm_baudrate().";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error inside CassetteReader or with RF-Tag.<newline/>Reason:<newline/>- CassetteReader module(B258) defective .<newline/>Cure:<newline/>Replace CassetteReader(B258)."
"2137";"TA_DELIVERCANCEL";"cannot deliver cancel message to caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2138";"TA_MALLOCCANCEL";"cannot allocate envelope to send the cancel message back.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2139";"TA_INIT_BLKREAD";"Block read of the initialisation data failed.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2140";"TA_INIT_IPDATA_IMPORT";"Importing IPData failed in method initTag.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2141";"TA_INIT_WRITEINFO";"Error writing IPInfo to the tag in method initTag";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) orReplace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2142";"TA_INIT_WRITESTATUS";"Error writing IPStatus to the tag in method initTag";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2143";"TA_RPTAVAILABILITY_DELIVER";"cannot deliver availability message to caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2144";"TA_RPTAVAILABILITY_MALLOC";"cannot allocate envelope to send the availability message back.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot allocate memory for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2145";"TA_RPTFAILURE_DELIVER";"cannot deliver availability message to caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2146";"TA_RPTFAILURE_MALLOC";"cannot allocate envelope to send the availability message back.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot allocate memory for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2147";"TA_RPTRDERROR_DELIVER";"cannot deliver availability message to caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2148";"TA_RPTRDERROR_MALLOC";"cannot allocate envelope to send the availability message back.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot allocate memory for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2149";"TA_RPTWRERROR_DELIVER";"cannot deliver availability message to caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2150";"TA_RPTWRERROR_MALLOC";"cannot allocate envelope to send the availability message back.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot allocate memory for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2151";"TA_SELFTEST_SYNC";"syncing with the tagreader failed in method selftest()";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2152";"TA_SELFTEST_LOADKEY";"loading keys failed in method selftest()";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2153";"TA_TXSTUBBED_DELIVER";"cannot deliver internal message.";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
"2154";"TA_TXSTUBBED_MALLOC";"cannot allocate envelope to send internal message.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot allocate memory for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2155";"TA_RPTRDOK_OPENCHANNEL";"Cannot open hardware channel for IPData transmission to the caller.";"CassetteReader Module.<newline/>Meaning: <newline/>Cannot open channel for communication.<newline/>Reason:<newline/>SW-Bug<newline/>Cure:<newline/>SW-Bugfixing."
"2156";"TA_RPTRDOK_DELIVER";"cannot deliver readOK message to caller";"CassetteReader Module.<newline/>Meaning: <newline/>Communication error Cassette Handling Board with CassetteReader.<newline/>Reason:<newline/>- CassetteReader module(B258) defective or not connected or<newline/>- Cable Cassette Handling Board/CassetteReader defective or<newline/>- Cassette Handling Board(B250) defective.<newline/>Cure:<newline/>Connect CassetteReader(B258) with BU11 on CassetteHandling Board(B250) or Replace CassetteReader(B258) or  Cable or CassetteHandling Board(B250)."
