"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'2295C";"E_SSC_DRV_SMPOSTALIGN_READSTEPS";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Read number of steps from node.";"- Restart system"
"'22960";"E_SSC_AADJUST_FEED";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: start feed IP.";"- Restart system"
"'22961";"E_SSC_AADJUST_STOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: stop motor.";"- Restart system"
"'22962";"E_SSC_AADJUST_WAITSTOP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive scanrolls. Action: Wait while busy after stop command.";"- Check/replace stepper node."
"'22963";"E_SSC_AADJUST_LSRPREDOWN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'preroll down' position.";"- Restart system"
"'22964";"E_SSC_AADJUST_TOLSRPREDOWN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'preroll down' position.";"- Check/replace stepper node."
"'22965";"E_SSC_AADJUST_PREPSCAN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Step positioning to 'prepare scan' position.";"- Restart system"
"'22966";"E_SSC_AADJUST_TOPREPSCAN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive scanrolls. Action: Step positioning to 'prepare scan' position.";"- Check/replace stepper node."
"'22967";"E_SSC_AADJUST_HOMEPREALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Home positioning.";"- Restart system"
"'22968";"E_SSC_AADJUST_TOHOMEPREALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive prealign. Action: home positioning.";"- Check mechanics."
"'22969";"E_SSC_AADJUST_POSPREALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Step positioning to 'adjust' position.";"- Restart system"
"'2296A";"E_SSC_AADJUST_TOPOSPREALIGN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'preroll up' position.";"- Check/replace stepper node."
"'2296C";"E_SSC_A_HOMEPOSTALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Home positioning.";"- Restart system"
"'2296D";"E_SSC_A_TOHOMEPOSTALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive postalign. Action: home positioning.";"- Check mechanics."
"'2296E";"E_SSC_A_POSPOSTALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Step positioning to 'align' position.";"- Restart system"
"'2296F";"E_SSC_A_TOPOSPOSTALIGN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to any position.";"- Check/replace stepper node."
"'22970";"E_SSC_ARUN_STARTSLOW";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running slow.";"- Restart system"
"'22971";"E_SSC_ARUN_STARTFAST";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running fast.";"- Restart system"
"'22972";"E_SSC_ARUN_SPEED";"The desired scanspeed has a value, which is forbidden for the scanner. ";"Slowscan module : Scan speed value from calling function out of range.";"Check the parameters coming from other SW-components"
"'22973";"E_SSC_A_COMMPREAUTOADJ";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Any action in auto-adjust function.";"- Restart system"
"'22974";"E_SSC_A_TOPOSPREAUTOADJ";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive prealign. Action: Step positioning to auto-adjust position.";"- Check/replace stepper node."
"'22975";"E_SSC_ANEWSPEED_STARTSLOW";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running slow.";"- Restart system"
"'22976";"E_SSC_ANEWSPEED_STARTFAST";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running fast.";"- Restart system"
"'22977";"E_SSC_ANEWSPEED_STOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Stop motor.";"- Restart system"
"'22978";"E_SSC_ANEWSPEED_WAITSTOP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive scanrolls. Action: Wait while busy after stop command.";"- Check/replace stepper node."
"'22979";"E_SSC_ANEWSPEED_SPEED";"The desired scanspeed has a value, which is forbidden for the scanner. ";"Slowscan module : Scan speed value from calling function out of range.";"Check the parameters coming from other SW-components"
"'2297A";"E_SSC_A_COMMPOSTAUTOADJ";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Any action in auto-adjust function.";"- Restart system"
"'2297B";"E_SSC_A_TOPOSPOSTAUTOADJ";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to auto-adjust position.";"- Check/replace stepper node."
"'2297C";"E_SSC_AINITIALIZE_COMPRESET";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with any stepper node. Action: Node SW reset.";"- Restart system"
"'2297D";"E_SSC_AINITIALIZE_HOMELSR";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Home positioning.";"- Restart system"
"'2297E";"E_SSC_AINITIALIZE_TOHOMELSR";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: home positioning.";"- Check mechanics."
"'2297F";"E_SSC_AINITIALIZE_LSRPREDOWN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'prerolldown' position.";"- Restart system"
"'22981";"E_SSC_AINITIALIZE_TOLSRPREDOWN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'preroll down' position.";"- Check/replace stepper node."
"'22982";"E_SSC_AINITIALIZE_STARTFAST";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running fast.";"- Restart system"
"'22983";"E_SSC_AINITIALIZE_SRSTOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Stop motor.";"- Restart system"
"'22984";"E_SSC_AINITIALIZE_WAITSRSTOP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive scanrolls. Action: Wait while busy after stop command.";"- Check/replace stepper node."
"'22985";"E_SSC_AINITIALIZE_LSRFEED";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'prepare feeding' position.";"- Restart system"
"'22986";"E_SSC_AINITIALIZE_TOLSRFEED";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'feed IP' position.";"- Check/replace stepper node."
"'22987";"E_SSC_AINITIALIZE_HOMEPREALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Home positioning.";"- Restart system"
"'22988";"E_SSC_AINITIALIZE_TOHOMEPREALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive prealign. Action: home positioning.";"- Check mechanics."
"'22989";"E_SSC_AINITIALIZE_HOMEPOSTALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Home positioning.";"- Restart system"
"'2298A";"E_SSC_AINITIALIZE_TOHOMEPOSTALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive postalign. Action: home positioning.";"- Check mechanics."
"'2298B";"E_SSC_AINITIALIZE_POSPOSTALIGN_PREP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Step positioning to 'prepare' position.";"- Restart system"
"'2298C";"E_SSC_AINITIALIZE_TOPOSPOSTALIGN_PREP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to 'prepare' position.";"- Check/replace stepper node."
"'2298D";"E_SSC_A_RUNRETRYOUT";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start running for retry shift IP out of scanner.";"- Restart system"
"'2298E";"E_SSC_AFINSCAN_STOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Stop motor.";"- Restart system"
"'2298F";"E_SSC_AFINSCAN_WAITSTOP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive scanrolls. Action: Wait while busy after stop command.";"- Check/replace stepper node."
"'22990";"E_SSC_AFINSCAN_LSRENDCYCLE";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'end of cycle' position.";"- Restart system"
"'22991";"E_SSC_AFINSCAN_TOLSRENDCYCLE";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'end of cycle' position.";"- Check/replace stepper node."
"'22994";"E_SSC_AFINCYCLE_HOMELSR";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Home positioning.";"- Restart system"
"'22995";"E_SSC_AFINCYCLE_TOHOMELSR";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: home positioning.";"- Check mechanics."
"'22996";"E_SSC_AFINCYCLE_LSRFEED";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'feed IP' position.";"- Restart system"
"'22997";"E_SSC_AFINCYCLE_TOLSRFEED";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'feed IP' position.";"- Check/replace stepper node."
"'22998";"E_SSC_AALIGNPOST_HOMEALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Home positioning.";"- Restart system"
"'22999";"E_SSC_AALIGNPOST_TOHOMEALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive postalign. Action: home positioning.";"- Check mechanics."
"'2299A";"E_SSC_AALIGNPOST_POSALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Step positioning to 'align IP' position.";"- Restart system"
"'2299B";"E_SSC_AALIGNPOST_TOPOSALIGN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to 'align IP' position.";"- Check/replace stepper node."
"'2299C";"E_SSC_AALIGNPOST_POSALIGN_PREP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Step positioning to 'prepare' position.";"- Restart system"
"'2299D";"E_SSC_AALIGNPOST_TOPOSALIGN_PREP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to 'prepare' position.";"- Check/replace stepper node."
"'2299E";"E_SSC_APREPPOST_HOMEPOSTALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Home positioning.";"- Restart system"
"'2299F";"E_SSC_APREPPOST_TOHOMEPOSTALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive postalign. Action: home positioning.";"- Check mechanics."
"'229A0";"E_SSC_APREPPOST_POSPOSTALIGN_PREP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Step positioning to 'prepare' position.";"- Restart system"
"'229A1";"E_SSC_APREPPOST_TOPOSPOSTALIGN_PREP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive postalign. Action: Step positioning to 'prepare' position.";"- Check/replace stepper node."
"'229A3";"E_SSC_UPDATELSR_POSTDOWN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'postroll down' position.";"- Restart system"
"'229A4";"E_SSC_UPDATELSR_TOPOSTDOWN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'postroll down' position.";"- Check/replace stepper node."
"'229A5";"E_SSC_UPDATELSR_POSTUP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'postroll up' position.";"- Restart system"
"'229A6";"E_SSC_UPDATELSR_TOPOSTUP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'postroll up' position.";"- Check/replace stepper node."
"'229A7";"E_SSC_UPDATELSR_PREDOWN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'preroll down' position.";"- Restart system"
"'229A8";"E_SSC_UPDATELSR_TOPREDOWN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'preroll down' position.";"- Check/replace stepper node."
"'229A9";"E_SSC_UPDATELSR_PREUP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Step positioning to 'preroll up' position.";"- Restart system"
"'229AA";"E_SSC_UPDATELSR_TOPREUP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to 'preroll up' position.";"- Check/replace stepper node."
"'229AB";"E_SSC_A_HOMEPREALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Home positioning.";"- Restart system"
"'229AC";"E_SSC_A_TOHOMEPREALIGN";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive prealign. Action: home positioning.";"- Check mechanics."
"'229AD";"E_SSC_A_POSPREALIGN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Step positioning";"- Restart system"
"'229AE";"E_SSC_A_TOPOSPREALIGN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive prealign. Action: Step positioning to any position.";"- Check/replace stepper node."
"'229B0";"E_SSC_ASV_ROLLS_STARTSLOW";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start slow";"- Restart system"
"'229B1";"E_SSC_ASV_ROLLS_STARTFAST";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start fast";"- Restart system"
"'229B2";"E_SSC_ASV_ROLLS_STOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Stop motor";"- Restart system"
"'229B3";"E_SSC_ASV_FIN_ROLLS_STOP";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: wait while busy for end of stop command.";"- Check/replace stepper node."
"'229B4";"E_SSC_ASV_LSR_HOME";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Home positioning.";"- Restart system"
"'229B5";"E_SSC_ASV_TOLSR_HOME";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: home positioning.";"- Check mechanics."
"'229B6";"E_SSC_ASV_LSR_POS";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Any Step positioning";"- Restart system"
"'229B7";"E_SSC_ASV_TOLSR_POS";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: Step positioning to any position.";"- Check/replace stepper node."
"'229B8";"E_SSC_LOAD_COP_SPP_FILE";"Slowscan module : Wrong spare part parameter file. ";"Wrong diskette.";"Insert correct diskette."
"'229B9";"E_SSC_LOAD_SPP_PREALNDIST";"Slowscan module : Prealignment distance parameter missing. Check if  ""Prealign_dist"" parameter on floppy is OK. ";"Wrong spare part parameter file or file corrupted.";"Insert correct diskette."
"'229BA";"E_SSC_LOAD_SPP_SPEEDCORR";"Slowscan module : Scanspeed correction factor parameter missing. Check if  ""speed_correction"" parameter on floppy is OK. ";"Wrong spare part parameter file or file corrupted.";"Insert correct diskette."
"'229C4";"E_SSC_MSG_WSTATE_REF";"";"Slowscan module : An event arrived in a state, where it cannot be handled. The software refused the message and sent it back. ";""
"'229C5";"E_SSC_FN_UNKNOWN";"Attempt from interface to call a service funcitonality, which is not implemented  ";"Slowscan module : Attempt to call unknown Service function.";"Software bug, or wrong interface call."
"'229C6";"E_SSC_FN_NO_NVF_ACCESS";"Attempt to access to NVF data which is not allowed from interface.  ";"Slowscan module : Attempt to access NVF-data failed.";"No cure."
"'229C7";"E_SSC_COMPRESET_SCANROLLRESET";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Node SW reset.";"- Restart system"
"'229C8";"E_SSC_COMPRESET_LSRRESET";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Node SW reset.";"- Restart system"
"'229C9";"E_SSC_COMPRESET_PREALIGNRESET";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node prealign. Action: Node SW reset.";"- Restart system"
"'229CA";"E_SSC_COMPRESET_POSTALIGNRESET";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node postalign. Action: Node SW reset.";"- Restart system"
"'229D0";"E_SSC_IFC_SHARE";"SW-configuration problem or SW-bug - See underlying error. - contact SI-DIS ";"Slowscan module : sm_share() failed to get a shared memory of slowscan module task.";"- check SW-configuration."
"'229D1";"E_SSC_IFC_MMSALLOC";"SW-configuration problem or SW-bug ";"Slowscan module : mms_alloc() failed by allocating a message header block for interfacing to slowscan module control task.";"Check Software configuration, if ok contact SI-DIS."
"'229D2";"E_SSC_IFC_QPOST";"SW-configuration problem or SW-bug - See underlying error - Contact SI-DIS ";"Slowscan module : mms_qpost() failed to post a message to slowscan module control task.";"- check SW-configuration."
"'229D3";"E_SSC_IFC_RESPONSE1";"Programming bug. ";"Slowscan module : ssc_get_event() received an unknown response from slowscan modul control task. It couldn't map the response into an event and ignored it.";"No cure. Contact SI-DIS."
